tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f41UKZpSx5DQQRH5SvuV_pwck-UDKJ1RqlSo9zSTt4tRSeI,whyb whyb,596,278,236,True,False,False,True
GRANDMASTER,RwZD34JjCrBBNbKQFYNE5-f7y-Xh8SWNtUp7nyvEaf1lwyY,그냥 승리를 원해,271,122,97,False,False,False,True
GRANDMASTER,p_LDuWs8D8XpwvXKeR8e02L1ZzzbedrA9iR_rSz2OHDrdg4,하 멘탈이 터진다,374,278,257,True,False,False,False
GRANDMASTER,1b5taJmxBIcljLUZfNfMeY4K7fTkyB34kWYQFACdbwv92iA,Gipsy였던것,310,586,571,False,False,True,False
GRANDMASTER,u9pOBKCCFMxKPz4_bohucW0I21KfVAhmOZyEQkGRGzFPvwQ,Zaovvunongren,452,222,192,True,False,False,False
GRANDMASTER,DuL9mDM4FUwreLtqeXtzS6fVxhqaQZF1-fLpisgKQMTuPMU,123haxo,163,130,122,False,False,True,False
GRANDMASTER,qSWjaevujI4LsKBhvprAYlm0Bi8uruvLkUUuVHrzC3odNA,포항참치박정훈,201,172,146,True,False,False,False
GRANDMASTER,aEJu8mGn8u4v58PQaTVt6Wn72Hb7COdwTntlz7mzQQ6g5LM,오이오이오이518,187,711,702,True,False,False,False
GRANDMASTER,Oi7SELOv35zAG_z67GIuFgkwEC_S52GSFMFY_ijOJQ9M8w,KT Kyuhyunji,421,87,59,False,False,False,False
GRANDMASTER,cA67gse_FPbl0KH7xswqKKgmAYM_61JRe-I3tmNbYBiHfE8,C2zh,266,424,399,True,False,False,False
GRANDMASTER,FC0lcCN7eYcn43UuG1mbbJIZAOiS7QyQmzJLBOZLjDyOZw,safhggf,574,197,167,True,False,False,True
GRANDMASTER,MzO0UtXIK1EzzPuHJco6Cf7zTuxqR70oI8jRYRXLgARBMYM,      E       8,201,254,240,False,False,True,False
GRANDMASTER,FJhUFwYHWU10Unz1b8UogPmFdYrTM10s-iuHgiWyySQ6PQ,divei,247,139,123,False,False,False,False
GRANDMASTER,WF11nRpYU2UrSWLqqv_m98usizR50u-Tkt_vccJmdXIho-A,5Kid,315,104,94,False,False,False,False
GRANDMASTER,ZFOMBH2-azdp4qNso15_VZlRZMGGTX2tYd0VNfdgw8jNRw,병기형이다z,238,305,289,False,False,False,False
GRANDMASTER,oFaK343Gz65giNwp6jogyJE5kdwGho0JUkXO-buw4XBxLew,레 탈,402,324,284,False,False,True,False
GRANDMASTER,9np0f2s_mWwt2MDVlq1ubv0yqThKVh9Na0zs2rD8EswhZao,지은이 남자친구,298,79,47,False,False,False,False
GRANDMASTER,ql8ABcsMkIZPc8eRwTL6vd_u5JHua1Y1QVaMERYG6fYUebw,Munian,224,110,94,False,False,True,False
GRANDMASTER,66cwhdn2CGz1T0PRBTyLORaJMXgdl7P0-IkMYNcqLxrRAqI,복수의 나선,441,102,76,False,False,True,False
GRANDMASTER,r9X7VR7iCiUrGR4MEpJ_7kM8EmMmiArb3YrPiTfK7l88IR0,H core,238,162,147,False,False,False,False
GRANDMASTER,TdkLCXCtK8qhDuKzLUL8AH09r865NUdrUmg_zWvjngWnUw,타락한 밍구,421,261,268,False,False,False,False
GRANDMASTER,JtNl-sN3BgJWvB-yf4loh4Qcqw08lVNScSYS6dl-xOXxnA,한화 큐베,332,248,235,False,False,True,False
GRANDMASTER,8t8nGuuhTw222OF0nokDwN-XyA-ZPQoDfH6BGwGnCD5xVJw,200277,572,404,369,False,False,True,False
GRANDMASTER,98dKD-1_qnW-nSCK5KqOZbM095X0en8QHj74-kejHovfY3Q,C1zh,272,342,331,True,False,False,False
GRANDMASTER,9w0Ge1Mzti_Me_AlIkCDqxcLk-2fVLLKitJxzGqCmB3IwLg,rqewhkjlafdsuc,446,202,168,False,False,False,False
GRANDMASTER,bvJ-Pyb7qDq6UbOY_O8W0R2Gvy-ElPRq__tjRz0j8z5wYFg,yyyyyezi,199,153,141,True,False,False,False
GRANDMASTER,URj_HoWdfdTmWdyO2VSQJ64jx_EZGC48kSFDMJuAmTXeLQ,STEAK WARWICK,208,94,70,False,False,True,False
GRANDMASTER,BTj115rynjt8kL7AErl3KKrb4b442lkAQT991EuscNRi2kc,Gen G Meaning,533,417,393,False,False,True,False
GRANDMASTER,gDnjgZDCvb_DcGWRPEZ351MGbTiN3lIE_C9Bt2uf5BkiIw,OZ Crown,247,185,169,False,False,True,False
GRANDMASTER,tIh8Dq0lg9pUdJof0gUAYoDWE5fpExUpw35j-5EjGnyyuy0,돼지 같은 팀원,334,345,328,True,False,False,True
GRANDMASTER,Kt7TEo5XuXEQYQOT5-9nt89GgHf8ENvJkZmH5BBGJBRF_RU,무거운어깨,210,77,54,False,False,False,False
GRANDMASTER,v55sfOyZeB0EMa4lG-9iLcNu2v1PLaWPVUNm24hz3d0r3No,금똥왁왁,415,103,81,False,False,False,True
GRANDMASTER,OG-ZEi5ei7_cN3chphNWvQpWayDOrBTPFau3nKhN1UWP1ng,얼음빙벽프렐요드,378,293,280,False,False,True,False
GRANDMASTER,-keoG5V4qdPF06EDIF2yyj3DJWLx3Qif0-vJr5Ij3dOGBGM,리그오브래전드ll,518,465,437,False,False,True,False
GRANDMASTER,0hQinxW2rb6UO-IhqBSlhkPPVS3kvZBuVx6czTViTMlT2KI,Unfade,211,165,135,False,False,False,False
GRANDMASTER,o4Mbz4uzmnl-4Yp7YrDdegiYvmHmQasLxd_p67MhjqBhVZ8,HANYOHANYOHAN,341,169,158,True,False,False,False
